,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
0,2014,1,1,1.0,96.0,235.0,70.0,AS,N508AS,145,PDX,ANC,194.0,1542,0.0,1.0
1,2014,1,1,4.0,-6.0,738.0,-23.0,US,N195UW,1830,SEA,CLT,252.0,2279,0.0,4.0
2,2014,1,1,8.0,13.0,548.0,-4.0,UA,N37422,1609,PDX,IAH,201.0,1825,0.0,8.0
3,2014,1,1,28.0,-2.0,800.0,-23.0,US,N547UW,466,PDX,CLT,251.0,2282,0.0,28.0
4,2014,1,1,34.0,44.0,325.0,43.0,AS,N762AS,121,SEA,ANC,201.0,1448,0.0,34.0
5,2014,1,1,37.0,82.0,747.0,88.0,DL,N806DN,1823,SEA,DTW,224.0,1927,0.0,37.0
6,2014,1,1,346.0,227.0,936.0,219.0,UA,N14219,1481,SEA,ORD,202.0,1721,3.0,46.0
7,2014,1,1,526.0,-4.0,1148.0,15.0,UA,N813UA,229,PDX,IAH,217.0,1825,5.0,26.0
8,2014,1,1,527.0,7.0,917.0,24.0,UA,N75433,1576,SEA,DEN,136.0,1024,5.0,27.0
9,2014,1,1,536.0,1.0,1334.0,-6.0,UA,N574UA,478,SEA,EWR,268.0,2402,5.0,36.0
10,2014,1,1,541.0,1.0,911.0,4.0,UA,N36476,1569,PDX,DEN,130.0,991,5.0,41.0
11,2014,1,1,549.0,24.0,907.0,12.0,US,N548UW,649,PDX,PHX,122.0,1009,5.0,49.0
12,2014,1,1,550.0,0.0,837.0,-12.0,DL,N660DL,1634,SEA,SLC,82.0,689,5.0,50.0
13,2014,1,1,557.0,-3.0,1134.0,-16.0,AA,N3JLAA,1094,SEA,DFW,184.0,1660,5.0,57.0
14,2014,1,1,557.0,-3.0,825.0,-25.0,AS,N562AS,81,SEA,ANC,188.0,1448,5.0,57.0
15,2014,1,1,558.0,-2.0,801.0,-2.0,AS,N402AS,200,SEA,SJC,100.0,697,5.0,58.0
16,2014,1,1,559.0,-1.0,916.0,-9.0,F9,N210FR,796,PDX,DEN,125.0,991,5.0,59.0
17,2014,1,1,600.0,0.0,1151.0,-19.0,AA,N3JFAA,2240,SEA,ORD,206.0,1721,6.0,0.0
18,2014,1,1,600.0,-10.0,842.0,-8.0,AS,N786AS,426,SEA,LAX,125.0,954,6.0,0.0
19,2014,1,1,602.0,-3.0,943.0,5.0,F9,N201FR,144,SEA,DEN,129.0,1024,6.0,2.0
20,2014,1,1,602.0,-3.0,1204.0,7.0,UA,N77295,1573,PDX,ORD,203.0,1739,6.0,2.0
21,2014,1,1,603.0,-2.0,755.0,-17.0,AS,N577AS,344,SEA,OAK,94.0,672,6.0,3.0
22,2014,1,1,603.0,-3.0,1202.0,-2.0,UA,N37290,1136,SEA,ORD,203.0,1721,6.0,3.0
23,2014,1,1,606.0,-4.0,806.0,-19.0,AS,N525AS,308,SEA,SFO,98.0,679,6.0,6.0
24,2014,1,1,606.0,6.0,746.0,3.0,AS,N796AS,406,PDX,SJC,87.0,569,6.0,6.0
25,2014,1,1,614.0,-1.0,850.0,-2.0,AS,N607AS,524,SEA,SNA,135.0,978,6.0,14.0
26,2014,1,1,617.0,2.0,850.0,-12.0,AS,N579AS,494,SEA,SAN,131.0,1050,6.0,17.0
27,2014,1,1,618.0,-2.0,1135.0,-30.0,AA,N4XMAA,1650,PDX,DFW,184.0,1616,6.0,18.0
28,2014,1,1,619.0,-6.0,822.0,-7.0,VX,N841VA,751,SEA,SFO,101.0,679,6.0,19.0
29,2014,1,1,620.0,-2.0,905.0,0.0,OO,N804SK,4693,SEA,LAX,125.0,954,6.0,20.0
30,2014,1,1,622.0,2.0,1412.0,-19.0,UA,N36472,1021,PDX,EWR,270.0,2434,6.0,22.0
31,2014,1,1,623.0,13.0,1218.0,-4.0,UA,N72405,1101,SEA,IAH,213.0,1874,6.0,23.0
32,2014,1,1,624.0,-6.0,1401.0,-6.0,DL,N617DL,968,SEA,ATL,235.0,2182,6.0,24.0
33,2014,1,1,629.0,-9.0,1014.0,-1.0,UA,N566UA,883,SEA,DEN,132.0,1024,6.0,29.0
34,2014,1,1,630.0,-10.0,834.0,-14.0,OO,N219AG,3456,PDX,BUR,105.0,817,6.0,30.0
35,2014,1,1,632.0,-3.0,1235.0,5.0,WN,N8302F,3694,SEA,MDW,204.0,1733,6.0,32.0
36,2014,1,1,637.0,-8.0,858.0,-7.0,AS,N408AS,560,PDX,LAX,108.0,834,6.0,37.0
37,2014,1,1,637.0,-3.0,854.0,-6.0,AS,N588AS,572,PDX,SAN,120.0,933,6.0,37.0
38,2014,1,1,638.0,-2.0,1003.0,-5.0,AS,N508AS,646,PDX,PHX,125.0,1009,6.0,38.0
39,2014,1,1,638.0,10.0,1408.0,-4.0,UA,N526UA,250,PDX,IAD,253.0,2327,6.0,38.0
