mpg,weight
18,3504
15,3693
18,3436
16,3433
17,3449
15,4341
14,4354
14,4312
14,4425
15,3850
15,3563
14,3609
15,3761
14,3086
24,2372
22,2833
18,2774
21,2587
27,2130
26,1835
25,2672
24,2430
25,2375
26,2234
21,2648
10,4615
10,4376
11,4382
9,4732
27,2130
28,2264
25,2228
19,2634
16,3439
17,3329
19,3302
18,3288
14,4209
14,4464
14,4154
14,4096
12,4955
13,4746
13,5140
18,2962
22,2408
19,3282
18,3139
23,2220
28,2123
30,2074
30,2065
31,1773
35,1613
27,1834
26,1955
24,2278
25,2126
23,2254
20,2408
21,2226
13,4274
14,4385
15,4135
14,4129
17,3672
11,4633
13,4502
12,4456
13,4422
19,2330
15,3892
13,4098
13,4294
14,4077
18,2933
22,2511
21,2979
26,2189
22,2395
28,2288
23,2506
28,2164
27,2100
13,4100
14,3672
13,3988
14,4042
15,3777
12,4952
13,4464
13,4363
14,4237
13,4735
12,4951
13,3821
18,3121
16,3278
18,2945
18,3021
23,2904
26,1950
11,4997
12,4906
13,4654
12,4499
18,2789
20,2279
21,2401
22,2379
18,2124
19,2310
21,2472
26,2265
15,4082
16,4278
29,1867
24,2158
20,2582
19,2868
15,3399
24,2660
20,2807
11,3664
20,3102
19,2901
15,3336
31,1950
26,2451
32,1836
25,2542
16,3781
16,3632
18,3613
16,4141
13,4699
14,4457
14,4638
14,4257
29,2219
26,1963
26,2300
31,1649
32,2003
28,2125
24,2108
26,2246
24,2489
26,2391
31,2000
19,3264
18,3459
15,3432
15,3158
16,4668
15,4440
16,4498
14,4657
17,3907
16,3897
15,3730
18,3785
21,3039
20,3221
13,3169
29,2171
23,2639
20,2914
23,2592
24,2702
25,2223
24,2545
18,2984
29,1937
19,3211
23,2694
23,2957
22,2945
25,2671
33,1795
28,2464
25,2220
25,2572
26,2255
27,2202
17.5,4215
16,4190
15.5,3962
14.5,4215
22,3233
22,3353
24,3012
22.5,3085
29,2035
24.5,2164
29,1937
33,1795
20,3651
18,3574
18.5,3645
17.5,3193
29.5,1825
32,1990
28,2155
26.5,2565
20,3150
13,3940
19,3270
19,2930
16.5,3820
16.5,4380
13,4055
13,3870
13,3755
31.5,2045
30,2155
36,1825
25.5,2300
33.5,1945
17.5,3880
17,4060
15.5,4140
15,4295
17.5,3520
20.5,3425
19,3630
18.5,3525
16,4220
15.5,4165
15.5,4325
16,4335
29,1940
24.5,2740
26,2265
25.5,2755
30.5,2051
33.5,2075
30,1985
30.5,2190
22,2815
21.5,2600
21.5,2720
43.1,1985
36.1,1800
32.8,1985
39.4,2070
36.1,1800
19.9,3365
19.4,3735
20.2,3570
19.2,3535
20.5,3155
20.2,2965
25.1,2720
20.5,3430
19.4,3210
20.6,3380
20.8,3070
18.6,3620
18.1,3410
19.2,3425
17.7,3445
18.1,3205
17.5,4080
30,2155
27.5,2560
27.2,2300
30.9,2230
21.1,2515
23.2,2745
23.8,2855
23.9,2405
20.3,2830
17,3140
21.6,2795
16.2,3410
31.5,1990
29.5,2135
21.5,3245
19.8,2990
22.3,2890
20.2,3265
20.6,3360
17,3840
17.6,3725
16.5,3955
18.2,3830
16.9,4360
15.5,4054
19.2,3605
18.5,3940
31.9,1925
34.1,1975
35.7,1915
27.4,2670
25.4,3530
23,3900
27.2,3190
23.9,3420
34.2,2200
